bootstrap_unit,ci95_high,ci95_low,density,half_width,mean,method,method_label,metric,n_bootstrap,n_seeds
shared evaluation seed,0.7533813743781094,0.6683137437810945,0.02040816326530612,14.0,0.7133146766169155,alf,ALF,radius_max_saturation_fraction,2000,50
shared evaluation seed,5.157482898009952,4.987838619402985,0.02040816326530612,14.0,5.074477611940298,alf,ALF,mean_degree_error,2000,50
shared evaluation seed,27.40795957711443,25.82922356965174,0.02040816326530612,14.0,26.623544776119402,alf,ALF,mean_degree_error_sq,2000,50
shared evaluation seed,0.00023125,6.25e-05,0.02040816326530612,14.0,0.0001375,alf,ALF,radius_oscillation_frequency,2000,50
shared evaluation seed,0.0075,0.0,0.012345679012345678,18.0,0.0025,alf,ALF,final_fragmentation,2000,50
shared evaluation seed,0.1113994092039801,0.05750481965174129,0.012345679012345678,18.0,0.08361940298507463,alf,ALF,mean_fragmentation,2000,50
shared evaluation seed,0.9975,0.95,0.012345679012345678,18.0,0.9775,alf,ALF,final_largest_scc_fraction,2000,50
shared evaluation seed,0.9289521144278606,0.8653837064676617,0.012345679012345678,18.0,0.8982338308457711,alf,ALF,mean_largest_scc_fraction,2000,50
shared evaluation seed,2.9810082400497513,2.76189598880597,0.012345679012345678,18.0,2.8719278606965175,alf,ALF,mean_degree,2000,50
shared evaluation seed,7.890941630457569,7.816522866708662,0.012345679012345678,18.0,7.8533705612769475,alf,ALF,mean_radius,2000,50
shared evaluation seed,195.89271959427188,192.57383516003458,0.012345679012345678,18.0,194.29222266494395,alf,ALF,mean_interaction_area,2000,50
shared evaluation seed,0.0009875,0.00064375,0.012345679012345678,18.0,0.0008125000000000001,alf,ALF,neighbor_loss_rate,2000,50
shared evaluation seed,0.9303226918511757,0.8756340101261572,0.012345679012345678,18.0,0.9043289806630577,alf,ALF,polar_order,2000,50
shared evaluation seed,0.016818240738032092,0.012952507843303979,0.012345679012345678,18.0,0.0148020422976828,alf,ALF,velocity_dispersion,2000,50
shared evaluation seed,0.020561589494077957,0.015186996294814513,0.012345679012345678,18.0,0.017622811263449372,alf,ALF,control_energy,2000,50
shared evaluation seed,0.0003758610939133058,0.0001466563606419719,0.012345679012345678,18.0,0.00025611092715950535,alf,ALF,radius_temporal_variation,2000,50
shared evaluation seed,0.00040397508002231944,0.00015528680693403422,0.012345679012345678,18.0,0.0002741851990267052,alf,ALF,radius_command_temporal_variation,2000,50
shared evaluation seed,0.0,0.0,0.012345679012345678,18.0,0.0,alf,ALF,radius_min_saturation_fraction,2000,50
shared evaluation seed,0.8926990049751243,0.8376242226368159,0.012345679012345678,18.0,0.8664427860696517,alf,ALF,radius_max_saturation_fraction,2000,50
shared evaluation seed,5.481537935323383,5.348847947761193,0.012345679012345678,18.0,5.41360696517413,alf,ALF,mean_degree_error,2000,50
shared evaluation seed,30.450568097014926,29.16914116915423,0.012345679012345678,18.0,29.844751243781094,alf,ALF,mean_degree_error_sq,2000,50
shared evaluation seed,9.375e-05,1.875e-05,0.012345679012345678,18.0,5e-05,alf,ALF,radius_oscillation_frequency,2000,50
shared evaluation seed,0.10625,0.02875,0.007561436672967864,23.0,0.065,alf,ALF,final_fragmentation,2000,50
shared evaluation seed,0.28009499378109454,0.19839490049751243,0.007561436672967864,23.0,0.23757462686567163,alf,ALF,mean_fragmentation,2000,50
shared evaluation seed,0.97125,0.89625,0.007561436672967864,23.0,0.935,alf,ALF,final_largest_scc_fraction,2000,50
shared evaluation seed,0.7995273631840794,0.7195362251243781,0.007561436672967864,23.0,0.7594154228855722,alf,ALF,mean_largest_scc_fraction,2000,50
shared evaluation seed,2.379292599502487,2.1993746890547263,0.007561436672967864,23.0,2.289962686567164,alf,ALF,mean_degree,2000,50
shared evaluation seed,7.975471421547394,7.930859687040634,0.007561436672967864,23.0,7.955135277599819,alf,ALF,mean_radius,2000,50
shared evaluation seed,199.9108618871018,197.91233610835988,0.007561436672967864,23.0,198.97941046828362,alf,ALF,mean_interaction_area,2000,50
shared evaluation seed,0.0006687500000000001,0.0003625,0.007561436672967864,23.0,0.0005062500000000001,alf,ALF,neighbor_loss_rate,2000,50
shared evaluation seed,0.8258182421881153,0.7340591629620449,0.007561436672967864,23.0,0.7807997921024556,alf,ALF,polar_order,2000,50
shared evaluation seed,0.049372617645576204,0.0377127982076639,0.007561436672967864,23.0,0.0433436697308394,alf,ALF,velocity_dispersion,2000,50
shared evaluation seed,0.07310739342257913,0.046838003873714756,0.007561436672967864,23.0,0.05953844700854214,alf,ALF,control_energy,2000,50
shared evaluation seed,0.00013101746653028363,3.349364790288877e-05,0.007561436672967864,23.0,7.749214233532798e-05,alf,ALF,radius_temporal_variation,2000,50
shared evaluation seed,0.00017416697508022984,4.019237886466843e-05,0.007561436672967864,23.0,0.00010172814848078753,alf,ALF,radius_command_temporal_variation,2000,50
shared evaluation seed,0.0,0.0,0.007561436672967864,23.0,0.0,alf,ALF,radius_min_saturation_fraction,2000,50
shared evaluation seed,0.9735537935323383,0.9367638370646766,0.007561436672967864,23.0,0.9558519900497512,alf,ALF,radius_max_saturation_fraction,2000,50
shared evaluation seed,5.688273631840796,5.595683457711443,0.007561436672967864,23.0,5.642636815920398,alf,ALF,mean_degree_error,2000,50
shared evaluation seed,32.62725621890547,31.66501119402985,0.007561436672967864,23.0,32.15736318407961,alf,ALF,mean_degree_error_sq,2000,50
shared evaluation seed,5.625e-05,0.0,0.007561436672967864,23.0,1.875e-05,alf,ALF,radius_oscillation_frequency,2000,50
shared evaluation seed,0.3,0.19125,0.0044444444444444444,30.0,0.24625,alf,ALF,final_fragmentation,2000,50
shared evaluation seed,0.4809208644278607,0.413525342039801,0.0044444444444444444,30.0,0.4482338308457712,alf,ALF,mean_fragmentation,2000,50
shared evaluation seed,0.8075,0.69875,0.0044444444444444444,30.0,0.75375,alf,ALF,final_largest_scc_fraction,2000,50
shared evaluation seed,0.5840275186567164,0.5176366604477612,0.0044444444444444444,30.0,0.5513868159203981,alf,ALF,mean_largest_scc_fraction,2000,50
shared evaluation seed,1.8038341106965174,1.697466262437811,0.0044444444444444444,30.0,1.7482587064676616,alf,ALF,mean_degree,2000,50
shared evaluation seed,7.99199203674373,7.959069110427042,0.0044444444444444444,30.0,7.9770206151161,alf,ALF,mean_radius,2000,50
shared evaluation seed,200.7109457010679,199.20046957136842,0.0044444444444444444,30.0,199.99431164165856,alf,ALF,mean_interaction_area,2000,50
shared evaluation seed,0.00035000000000000005,0.00015,0.0044444444444444444,30.0,0.00024375000000000002,alf,ALF,neighbor_loss_rate,2000,50
shared evaluation seed,0.6616773269017001,0.5686845527793061,0.0044444444444444444,30.0,0.6150435923647865,alf,ALF,polar_order,2000,50
shared evaluation seed,0.1281665304407606,0.1042694304990611,0.0044444444444444444,30.0,0.11529727157295701,alf,ALF,velocity_dispersion,2000,50
shared evaluation seed,0.19401247469734323,0.13482480649104636,0.0044444444444444444,30.0,0.16234285637983373,alf,ALF,control_energy,2000,50
shared evaluation seed,0.00010425372944485007,6.698703104794656e-06,0.0044444444444444444,30.0,4.813828310624952e-05,alf,ALF,radius_temporal_variation,2000,50
shared evaluation seed,0.0001042225511190205,6.69872981077807e-06,0.0044444444444444444,30.0,4.813830999456297e-05,alf,ALF,radius_command_temporal_variation,2000,50
shared evaluation seed,0.0,0.0,0.0044444444444444444,30.0,0.0,alf,ALF,radius_min_saturation_fraction,2000,50
shared evaluation seed,0.9925001554726369,0.9648132773631841,0.0044444444444444444,30.0,0.9796330845771145,alf,ALF,radius_max_saturation_fraction,2000,50
shared evaluation seed,5.825064054726368,5.7405509950248765,0.0044444444444444444,30.0,5.784253731343283,alf,ALF,mean_degree_error,2000,50
shared evaluation seed,34.12831467661692,33.234730721393035,0.0044444444444444444,30.0,33.6725,alf,ALF,mean_degree_error_sq,2000,50
shared evaluation seed,0.0,0.0,0.0044444444444444444,30.0,0.0,alf,ALF,radius_oscillation_frequency,2000,50
shared evaluation seed,0.0,0.0,0.08163265306122448,7.0,0.0,crdf,Current-radius feedback,final_fragmentation,2000,50
shared evaluation seed,0.0,0.0,0.08163265306122448,7.0,0.0,crdf,Current-radius feedback,mean_fragmentation,2000,50
shared evaluation seed,1.0,0.98625,0.08163265306122448,7.0,0.995,crdf,Current-radius feedback,final_largest_scc_fraction,2000,50
shared evaluation seed,1.0,0.9864987562189055,0.08163265306122448,7.0,0.9951057213930348,crdf,Current-radius feedback,mean_largest_scc_fraction,2000,50
shared evaluation seed,5.6584530472636825,5.464774409203979,0.08163265306122448,7.0,5.559670398009951,crdf,Current-radius feedback,mean_degree,2000,50
shared evaluation seed,4.550829530844117,4.476666373056275,0.08163265306122448,7.0,4.513907553366716,crdf,Current-radius feedback,mean_radius,2000,50
shared evaluation seed,65.65449242989662,63.660408789409736,0.08163265306122448,7.0,64.64513807477749,crdf,Current-radius feedback,mean_interaction_area,2000,50
shared evaluation seed,0.008287656249999999,0.00705,0.08163265306122448,7.0,0.00764375,crdf,Current-radius feedback,neighbor_loss_rate,2000,50
shared evaluation seed,0.9909768631435151,0.988211232568479,0.08163265306122448,7.0,0.9897456117041473,crdf,Current-radius feedback,polar_order,2000,50
shared evaluation seed,0.0041133186014381835,0.003632843886439911,0.08163265306122448,7.0,0.0038672388131023184,crdf,Current-radius feedback,velocity_dispersion,2000,50
shared evaluation seed,0.00894438327263906,0.008213753206906631,0.08163265306122448,7.0,0.008585154260328789,crdf,Current-radius feedback,control_energy,2000,50
shared evaluation seed,0.014584572409159051,0.012313574851303534,0.08163265306122448,7.0,0.013453971570761274,crdf,Current-radius feedback,radius_temporal_variation,2000,50
shared evaluation seed,0.16912302068540205,0.1356268512382796,0.08163265306122448,7.0,0.15209267939804103,crdf,Current-radius feedback,radius_command_temporal_variation,2000,50
shared evaluation seed,0.0,0.0,0.08163265306122448,7.0,0.0,crdf,Current-radius feedback,radius_min_saturation_fraction,2000,50
shared evaluation seed,0.0010760261194029844,0.00083955223880597,0.08163265306122448,7.0,0.0009577114427860696,crdf,Current-radius feedback,radius_max_saturation_fraction,2000,50
shared evaluation seed,1.2694009639303483,1.1579643967661692,0.08163265306122448,7.0,1.2173756218905474,crdf,Current-radius feedback,mean_degree_error,2000,50
shared evaluation seed,2.3265071517412936,2.0470472636815917,0.08163265306122448,7.0,2.1873383084577114,crdf,Current-radius feedback,mean_degree_error_sq,2000,50
shared evaluation seed,0.28975203124999993,0.23413625,0.08163265306122448,7.0,0.26158125,crdf,Current-radius feedback,radius_oscillation_frequency,2000,50
shared evaluation seed,0.0,0.0,0.04938271604938271,9.0,0.0,crdf,Current-radius feedback,final_fragmentation,2000,50
shared evaluation seed,0.0,0.0,0.04938271604938271,9.0,0.0,crdf,Current-radius feedback,mean_fragmentation,2000,50
shared evaluation seed,0.9975,0.98,0.04938271604938271,9.0,0.99,crdf,Current-radius feedback,final_largest_scc_fraction,2000,50
shared evaluation seed,0.9975621890547264,0.9789490049751244,0.04938271604938271,9.0,0.9889987562189054,crdf,Current-radius feedback,mean_largest_scc_fraction,2000,50
shared evaluation seed,4.514439832089552,4.374742226368159,0.04938271604938271,9.0,4.445435323383085,crdf,Current-radius feedback,mean_degree,2000,50
shared evaluation seed,5.194183851213156,5.10233072160302,0.04938271604938271,9.0,5.150134315740911,crdf,Current-radius feedback,mean_radius,2000,50
shared evaluation seed,85.88660052784167,83.10523096768844,0.04938271604938271,9.0,84.49696282822633,crdf,Current-radius feedback,mean_interaction_area,2000,50
shared evaluation seed,0.01090015625,0.0094625,0.04938271604938271,9.0,0.010175,crdf,Current-radius feedback,neighbor_loss_rate,2000,50
shared evaluation seed,0.9897572213616562,0.9845271221401538,0.04938271604938271,9.0,0.9873711031825857,crdf,Current-radius feedback,polar_order,2000,50
shared evaluation seed,0.004287475519639702,0.0037717541526475196,0.04938271604938271,9.0,0.004027686616927108,crdf,Current-radius feedback,velocity_dispersion,2000,50
shared evaluation seed,0.008988832802808485,0.008276057031284687,0.04938271604938271,9.0,0.008633308427675769,crdf,Current-radius feedback,control_energy,2000,50
shared evaluation seed,0.023477966162242812,0.020473951471392318,0.04938271604938271,9.0,0.021915373698314543,crdf,Current-radius feedback,radius_temporal_variation,2000,50
shared evaluation seed,0.24965773154961626,0.21067467103814777,0.04938271604938271,9.0,0.23010152279216622,crdf,Current-radius feedback,radius_command_temporal_variation,2000,50
shared evaluation seed,0.0,0.0,0.04938271604938271,9.0,0.0,crdf,Current-radius feedback,radius_min_saturation_fraction,2000,50
shared evaluation seed,0.0015236318407960197,0.0011940298507462687,0.04938271604938271,9.0,0.0013557213930348259,crdf,Current-radius feedback,radius_max_saturation_fraction,2000,50
shared evaluation seed,2.2137506218905467,2.064188743781094,0.04938271604938271,9.0,2.1407587064676616,crdf,Current-radius feedback,mean_degree_error,2000,50
shared evaluation seed,5.6803801305970145,5.175320429104477,0.04938271604938271,9.0,5.417226368159204,crdf,Current-radius feedback,mean_degree_error_sq,2000,50
shared evaluation seed,0.28609609374999995,0.24327265625000002,0.04938271604938271,9.0,0.2649375,crdf,Current-radius feedback,radius_oscillation_frequency,2000,50
shared evaluation seed,0.0,0.0,0.03305785123966942,11.0,0.0,crdf,Current-radius feedback,final_fragmentation,2000,50
shared evaluation seed,0.004085820895522388,0.0,0.03305785123966942,11.0,0.0013619402985074627,crdf,Current-radius feedback,mean_fragmentation,2000,50
shared evaluation seed,0.98625,0.94125,0.03305785123966942,11.0,0.96625,crdf,Current-radius feedback,final_largest_scc_fraction,2000,50
shared evaluation seed,0.9809359452736318,0.9336895211442787,0.03305785123966942,11.0,0.9607649253731343,crdf,Current-radius feedback,mean_largest_scc_fraction,2000,50
shared evaluation seed,3.7758429726368163,3.626571517412935,0.03305785123966942,11.0,3.6977300995024875,crdf,Current-radius feedback,mean_degree,2000,50
shared evaluation seed,5.761006741836624,5.653327970842922,0.03305785123966942,11.0,5.708732672587177,crdf,Current-radius feedback,mean_radius,2000,50
shared evaluation seed,105.88267525112407,101.9958116375927,0.03305785123966942,11.0,103.95140248811204,crdf,Current-radius feedback,mean_interaction_area,2000,50
shared evaluation seed,0.008737812499999999,0.0075621874999999995,0.03305785123966942,11.0,0.008150000000000001,crdf,Current-radius feedback,neighbor_loss_rate,2000,50
shared evaluation seed,0.9856001191404348,0.9726621815001403,0.03305785123966942,11.0,0.9799147049465735,crdf,Current-radius feedback,polar_order,2000,50
shared evaluation seed,0.004904520542398758,0.004165979912934299,0.03305785123966942,11.0,0.004508841824979472,crdf,Current-radius feedback,velocity_dispersion,2000,50
shared evaluation seed,0.009087511338314865,0.008444274993523288,0.03305785123966942,11.0,0.008764079178273394,crdf,Current-radius feedback,control_energy,2000,50
shared evaluation seed,0.03105335306385167,0.027155753729619057,0.03305785123966942,11.0,0.029033511999214858,crdf,Current-radius feedback,radius_temporal_variation,2000,50
shared evaluation seed,0.3616346707406634,0.30165782549288567,0.03305785123966942,11.0,0.3317345686782356,crdf,Current-radius feedback,radius_command_temporal_variation,2000,50
shared evaluation seed,0.0,0.0,0.03305785123966942,11.0,0.0,crdf,Current-radius feedback,radius_min_saturation_fraction,2000,50
shared evaluation seed,0.0028109452736318407,0.0023507462686567166,0.03305785123966942,11.0,0.0025808457711442782,crdf,Current-radius feedback,radius_max_saturation_fraction,2000,50
shared evaluation seed,2.881237717661692,2.755084732587065,0.03305785123966942,11.0,2.81896144278607,crdf,Current-radius feedback,mean_degree_error,2000,50
shared evaluation seed,9.043148631840795,8.371792288557213,0.03305785123966942,11.0,8.701162935323383,crdf,Current-radius feedback,mean_degree_error_sq,2000,50
shared evaluation seed,0.29987671875,0.2580734375,0.03305785123966942,11.0,0.2788625,crdf,Current-radius feedback,radius_oscillation_frequency,2000,50
shared evaluation seed,0.0,0.0,0.02040816326530612,14.0,0.0,crdf,Current-radius feedback,final_fragmentation,2000,50
shared evaluation seed,0.028628109452736267,0.0038743781094527363,0.02040816326530612,14.0,0.013911691542288558,crdf,Current-radius feedback,mean_fragmentation,2000,50
shared evaluation seed,0.91875,0.8387187500000001,0.02040816326530612,14.0,0.87875,crdf,Current-radius feedback,final_largest_scc_fraction,2000,50
shared evaluation seed,0.8855415111940299,0.811254975124378,0.02040816326530612,14.0,0.8481654228855722,crdf,Current-radius feedback,mean_largest_scc_fraction,2000,50
shared evaluation seed,2.9870984141791044,2.8462024253731344,0.02040816326530612,14.0,2.9170273631840797,crdf,Current-radius feedback,mean_degree,2000,50
shared evaluation seed,6.439183654242842,6.286251753135669,0.02040816326530612,14.0,6.362449559814628,crdf,Current-radius feedback,mean_radius,2000,50
shared evaluation seed,132.17975405883837,125.99208741659585,0.02040816326530612,14.0,129.15015890931608,crdf,Current-radius feedback,mean_interaction_area,2000,50
shared evaluation seed,0.00525,0.00453125,0.02040816326530612,14.0,0.0048875,crdf,Current-radius feedback,neighbor_loss_rate,2000,50
shared evaluation seed,0.9714297811465743,0.9512469127864938,0.02040816326530612,14.0,0.9623825072344292,crdf,Current-radius feedback,polar_order,2000,50
shared evaluation seed,0.007842099738897856,0.00609173098581057,0.02040816326530612,14.0,0.00694225020558177,crdf,Current-radius feedback,velocity_dispersion,2000,50
shared evaluation seed,0.010453282503026743,0.00945759677258908,0.02040816326530612,14.0,0.009950879488663848,crdf,Current-radius feedback,control_energy,2000,50
shared evaluation seed,0.030651850316199748,0.026712524296004594,0.02040816326530612,14.0,0.02872134679889461,crdf,Current-radius feedback,radius_temporal_variation,2000,50
shared evaluation seed,0.36973578131713314,0.30594996009513864,0.02040816326530612,14.0,0.3370619198710196,crdf,Current-radius feedback,radius_command_temporal_variation,2000,50
shared evaluation seed,0.0,0.0,0.02040816326530612,14.0,0.0,crdf,Current-radius feedback,radius_min_saturation_fraction,2000,50
shared evaluation seed,0.035143501243781086,0.016672885572139303,0.02040816326530612,14.0,0.025391791044776117,crdf,Current-radius feedback,radius_max_saturation_fraction,2000,50
shared evaluation seed,3.5459535136815923,3.3986803482587065,0.02040816326530612,14.0,3.4743967661691544,crdf,Current-radius feedback,mean_degree_error,2000,50
shared evaluation seed,13.241592506218906,12.236910914179106,0.02040816326530612,14.0,12.747468905472637,crdf,Current-radius feedback,mean_degree_error_sq,2000,50
shared evaluation seed,0.29625843749999997,0.24603109374999999,0.02040816326530612,14.0,0.27059374999999997,crdf,Current-radius feedback,radius_oscillation_frequency,2000,50
shared evaluation seed,0.03375,0.0,0.012345679012345678,18.0,0.015,crdf,Current-radius feedback,final_fragmentation,2000,50
shared evaluation seed,0.12314707711442786,0.07529850746268657,0.012345679012345678,18.0,0.09886815920398011,crdf,Current-radius feedback,mean_fragmentation,2000,50
shared evaluation seed,0.8525,0.7475,0.012345679012345678,18.0,0.8025,crdf,Current-radius feedback,final_largest_scc_fraction,2000,50
